Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
c,,29,2,1,0,0,0,0,0,0,0
j,,1,20,6,4,1,0,0,0,0,0
m,,2,7,21,0,1,0,1,0,0,0
g,,,1,2,7,2,3,3,2,1,0
m,,,1,1,3,1,3,6,5,7,3
r,,,1,0,4,5,7,2,1,0,0
m,,,,0,5,7,2,3,1,3,1
e,,,,1,6,4,2,0,1,0,1
s,,,,,0,3,5,2,6,5,8
l,,,,,0,0,1,4,0,5,4
v,,,,,1,0,0,2,4,1,5
c,,,,,1,2,1,1,0,2,0
j,,,,,,1,2,2,1,2,0
s,,,,,,1,2,1,0,0,3
r,,,,,,2,1,0,1,0,1
b,,,,,,1,0,2,1,0,2
c,,,,,,0,0,0,4,1,1
l,,,,,,0,0,1,1,2,1
b,,,,,,1,1,0,0,0,0
b,,,,,,,2,0,0,0,1
m,,,,,,,,1,2,0,0
b,,,,,1,,,0,0,0,0
b,,,,,,,,1,0,1,0
b,,,,,,,,,1,0,0
m,,,,,,,,,1,0,0
j,,,,,,,,,,1,0
k,,,,,,,,,,1,0
t,,,,,,,,,,,1
